Valeur fonciere,Nombre pieces principales,Surface reelle bati,lat,long
229000.0,2.0,64.0,45.146161,5.8093855
190000.0,4.0,79.0,45.1789654,5.7510871
183000.0,4.0,88.0,45.1412526,5.7015579
193331.0,4.0,83.0,45.1723601,5.7128156
142000.0,3.0,53.0,45.1818593,5.7075411
134000.0,1.0,38.0,45.1926406,5.7309847
44500.0,1.0,16.0,45.1808545,5.747202843029996
135000.0,1.0,65.0,45.1816698,5.7160774890965484
318600.0,5.0,104.0,45.1935557,5.709716
191400.0,4.0,77.0,45.160668,5.7462
247000.0,4.0,75.0,45.1823785,5.7468983
110000.0,2.0,50.0,45.1791909,5.7179739
413500.0,5.0,132.0,45.3256943,5.5654879
216600.0,2.0,55.0,45.1951938,5.7288713
120000.0,2.0,34.0,45.1914314,5.718684399693083
208000.0,4.0,81.0,45.136509,5.7139908
129630.0,2.0,49.0,45.1459499,5.7221405999999995
60000.0,1.0,11.0,45.1905139,5.7558931
353000.0,4.0,81.0,45.1830099,5.7265885
609850.0,5.0,123.0,45.208911,5.7592856
133000.0,2.0,54.0,45.181293249999996,5.7155703377811005
75000.0,1.0,17.0,45.1868371,5.7436095
253000.0,3.0,64.0,45.1867567,5.7201021
65300.0,1.0,16.0,45.1808545,5.747202843029996
130000.0,2.0,49.0,45.14613145,5.724669994904816
260000.0,3.0,96.0,45.189559599999995,5.718126328889676
206280.0,2.0,72.0,45.2422347,5.8494789
128650.0,3.0,65.0,45.1629086,5.7171399
175000.0,5.0,80.0,45.1801878,5.7154239
111000.0,3.0,50.0,45.1809068,5.7154605
220900.0,2.0,50.0,45.1822516,5.7236293
37000.0,1.0,19.0,45.1479383,5.7174275
232500.0,3.0,65.0,45.185800799999996,5.714689844275801
200900.0,3.0,60.0,45.1655498,5.7524122
84000.0,2.0,45.0,45.1655498,5.7524122
125000.0,3.0,59.0,45.1523194,5.7241625
380800.0,4.0,82.0,45.2425963,5.8292702
83950.0,1.0,47.0,45.1457353,5.7249220330330655
134500.0,2.0,45.0,45.1796077,5.747437253378379
268000.0,3.0,72.0,45.1917831,5.7186505
325500.0,3.0,87.0,45.186013349999996,5.7237867699423575
107000.0,2.0,58.0,45.1734465,5.7190065
178711.0,2.0,34.0,45.19287435,5.729998527741575
95000.0,2.0,50.0,45.187427799999995,5.715708178892849
105000.0,2.0,53.0,45.18882945,5.708048234169567
261100.0,2.0,52.0,45.1839285,5.721025018887531
125000.0,2.0,49.0,45.1829628,5.7372866
243000.0,3.0,74.0,45.1907983,5.7088031
50100.0,1.0,18.0,45.1942774,5.7105902
152000.0,2.0,49.0,45.1752077,5.756232
323050.0,5.0,93.0,45.2125679,5.7894556
210000.0,4.0,96.0,45.1789248,5.7149552
118000.0,2.0,31.0,45.1873669,5.7173414
221000.0,3.0,69.0,45.1823976,5.7814882
202000.0,3.0,63.0,45.18506405,5.752953436940983
147940.0,2.0,60.0,45.1928762,5.7303222
138000.0,3.0,62.0,45.177293,5.7098757
335000.0,4.0,85.0,45.2095565,5.7642086
153000.0,2.0,44.0,45.177757,5.716056247368421
34070.0,1.0,19.0,45.1479383,5.7174275
262800.0,3.0,70.0,45.2026252,5.7378929
46000.0,1.0,14.0,45.1868385,5.712239941962932
74000.0,1.0,16.0,45.1868371,5.7436095
125000.0,3.0,58.0,45.1853269,5.7172956
68600.0,2.0,49.0,45.1478169,5.7201676
123000.0,3.0,51.0,45.1810972,5.7411578
131875.0,3.0,62.0,45.1523194,5.7241625
67100.0,1.0,40.0,45.176942,5.712251970151426
198000.0,2.0,42.0,45.2435257,5.8291651
180000.0,3.0,72.0,45.18903095,5.721445743200551
106000.0,2.0,31.0,45.1818391,5.719730260340908
158000.0,2.0,65.0,45.192171200000004,5.716199494025935
278000.0,3.0,72.0,45.2412388,5.8212993
172900.0,3.0,63.0,45.176894,5.7661215
142425.0,4.0,74.0,45.1523194,5.7241625
209000.0,4.0,86.0,45.16362895,5.720823523875406
107000.0,2.0,37.0,45.16362895,5.720823523875406
429000.0,4.0,85.0,45.2140911,5.7508109
104000.0,2.0,25.0,45.1909504,5.7188195
138000.0,1.0,13.0,45.18551695,5.717845663597307
278360.0,3.0,60.0,45.2435257,5.8291651
56000.0,1.0,16.0,45.1808545,5.747202843029996
135000.0,2.0,36.0,45.19790345,5.71411445
120000.0,1.0,23.0,45.185523599999996,5.711967286090863
120000.0,1.0,26.0,45.185523599999996,5.711967286090863
243000.0,4.0,106.0,45.1620708,5.7171867
261300.0,2.0,90.0,45.1850178,5.7207974
210000.0,3.0,73.0,45.1733739,5.7072724
95000.0,0.0,21.0,45.1861823,5.720704579754846
111370.0,3.0,57.0,45.1689404,5.7319367
89000.0,2.0,55.0,45.1464534,5.7150184
170000.0,2.0,35.0,45.2218172,5.8118124
185000.0,4.0,81.0,45.1488487,5.7204715
170000.0,3.0,71.0,45.1724328,5.7085325
186500.0,3.0,65.0,45.1768095,5.7591594
83500.0,1.0,44.0,45.1898049,5.7112357
658000.0,6.0,148.0,45.2180484,5.7869838
94000.0,1.0,30.0,45.1867071,5.7179905
108300.0,3.0,53.0,45.1811379,5.7111518
84000.0,2.0,53.0,45.1782519,5.7136943
