Salaires mensuels nets (en euros),Effectifs (en EQTP)
Moins de 1 200,583943
De 1 200 à 1 300,613321
De 1 300 à 1 400,835135
De 1 400 à 1 500,969172
De 1 500 à 1 600,1052630
De 1 600 à 1 700,1008034
De 1 700 à 1 800,939538
De 1 800 à 1 900,863042
De 1 900 à 2 000,782314
De 2 000 à 2 100,706339
De 2 100 à 2 200,630132
De 2 200 à 2 300,563387
De 2 300 à 2 400,504240
De 2 400 à 2 500,452167
De 2 500 à 2 600,407908
De 2 600 à 2 700,365648
De 2 700 à 2 800,329810
De 2 800 à 2 900,294230
De 2 900 à 3 000,265925
De 3 000 à 3 100,241899
De 3 100 à 3 200,218832
De 3 200 à 3 300,198266
De 3 300 à 3 400,180386
De 3 400 à 3 500,164164
De 3 500 à 3 600,150218
De 3 600 à 3 700,136878
De 3 700 à 3 800,124602
De 3 800 à 3 900,114322
De 3 900 à 4 000,106638
De 4 000 à 4 100,97332
De 4 100 à 4 200,89173
De 4 200 à 4 300,82839
De 4 300 à 4 400,76130
De 4 400 à 4 500,69887
De 4 500 à 4 600,64863
De 4 600 à 4 700,60466
De 4 700 à 4 800,55998
De 4 800 à 4 900,52101
De 4 900 à 5 000,48438
De 5 000 à 5 100,44831
De 5 100 à 5 200,41854
De 5 200 à 5 300,38848
De 5 300 à 5 400,36480
De 5 400 à 5 500,34092
De 5 500 à 5 600,31841
De 5 600 à 5 700,29948
De 5 700 à 5 800,27840
De 5 800 à 5 900,26335
De 5 900 à 6 000,25270
De 6 000 à 6 100,23380
De 6 100 à 6 200,21912
De 6 200 à 6 300,20313
De 6 300 à 6 400,19320
De 6 400 à 6 500,18286
De 6 500 à 6 600,17333
De 6 600 à 6 700,16394
De 6 700 à 6 800,15519
De 6 800 à 6 900,14700
De 6 900 à 7 000,13549
De 7 000 à 7 100,13210
De 7 100 à 7 200,12278
De 7 200 à 7 300,11829
De 7 300 à 7 400,11186
De 7 400 à 7 500,10567
De 7 500 à 7 600,10063
De 7 600 à 7 700,9698
De 7 700 à 7 800,9178
De 7 800 à 7 900,8974
De 7 900 à 8 000,8689
De 8 000 à 8 100,8170
De 8 100 à 8 200,7697
De 8 200 à 8 300,7431
De 8 300 à 8 400,7057
De 8 400 à 8 500,6674
De 8 500 à 8 600,6410
De 8 600 à 8 700,6138
De 8 700 à 8800,5772
De 8 800 à 8 900,5585
De 8 900 à 9 000,5408
Plus de 9 000,183314
