valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude,latitude,type_local,jour_semaine,jours_depuis_achat
229000.0,64.0,2.0,5.791164,45.139141,Appartement,4,340
151500.0,54.0,2.0,5.711105,45.181912,Appartement,1,343
62000.0,66.0,3.0,5.702079,45.144146,Appartement,0,344
110000.0,65.0,4.0,5.766423,45.18384,Appartement,4,340
157000.0,100.0,5.0,5.708358,45.173086,Appartement,0,337
105000.0,65.0,4.0,5.711579,45.163447,Appartement,2,335
147800.0,80.0,4.0,5.720325,45.166004,Appartement,3,341
138800.0,75.0,2.0,5.715467,45.178643,Appartement,3,341
138000.0,52.0,2.0,5.717319,45.181981,Appartement,1,343
190000.0,79.0,4.0,5.747556,45.185345,Appartement,2,342
640000.0,153.0,7.0,5.84665,45.25898,Maison,3,334
640000.0,153.0,7.0,5.84665,45.25898,Maison,3,334
183000.0,88.0,4.0,5.698547,45.141669,Appartement,1,336
193331.0,83.0,4.0,5.711777,45.171798,Appartement,4,340
165500.0,46.0,2.0,5.741868,45.14329,Appartement,3,341
203650.0,64.0,2.0,5.723732,45.18128,Appartement,2,342
163000.0,90.0,4.0,5.702184,45.151535,Appartement,0,344
77000.0,53.0,3.0,5.749955,45.165699,Appartement,3,327
124000.0,49.0,3.0,5.709211,45.178078,Appartement,3,341
122500.0,73.0,3.0,5.766958,45.172744,Appartement,3,327
142000.0,53.0,3.0,5.707693,45.181994,Appartement,3,334
134000.0,38.0,1.0,5.730933,45.192644,Appartement,3,334
44500.0,16.0,1.0,5.747267,45.180807,Appartement,4,326
83000.0,84.0,5.0,5.719941,45.170847,Appartement,4,326
135000.0,65.0,1.0,5.716101,45.181666,Appartement,0,337
127000.0,67.0,3.0,5.708816,45.188816,Appartement,1,336
90000.0,24.0,1.0,5.716855,45.192612,Appartement,3,320
346000.0,65.0,3.0,5.758106,45.201451,Maison,2,321
135000.0,50.0,2.0,5.713341,45.181761,Appartement,1,343
318600.0,104.0,5.0,5.709776,45.193315,Appartement,4,326
191400.0,77.0,4.0,5.745822,45.16049,Appartement,3,327
186300.0,67.0,4.0,5.764316,45.208054,Appartement,4,333
247000.0,75.0,4.0,5.7468,45.18266,Appartement,3,320
110000.0,50.0,2.0,5.717916,45.178869,Appartement,3,320
586300.0,136.0,5.0,5.788385,45.220297,Maison,2,321
160000.0,56.0,2.0,5.707759,45.186821,Appartement,3,327
129000.0,42.0,2.0,5.711595,45.18568,Appartement,3,334
555750.0,99.0,4.0,5.744182,45.206577,Appartement,2,321
413500.0,132.0,5.0,5.723271,45.18426,Appartement,0,316
134000.0,56.0,3.0,5.714571,45.171152,Appartement,3,313
114300.0,39.0,2.0,5.707201,45.181639,Appartement,2,321
485000.0,118.0,6.0,5.8062,45.234733,Maison,4,312
379625.0,104.0,3.0,5.765203,45.212098,Appartement,3,313
326000.0,57.0,3.0,5.766147,45.21115,Maison,0,323
136000.0,36.0,1.0,5.716954,45.187678,Appartement,1,315
216600.0,55.0,2.0,5.728752,45.195227,Appartement,2,314
215200.0,66.0,3.0,5.75521,45.202011,Appartement,1,315
77070.0,20.0,1.0,5.75117,45.18622,Appartement,3,306
120000.0,34.0,2.0,5.718655,45.191419,Appartement,2,307
180000.0,83.0,4.0,5.710977,45.174546,Appartement,2,307
57500.0,30.0,1.0,5.708275,45.1767,Appartement,4,305
208000.0,81.0,4.0,5.714197,45.13622,Appartement,1,322
129630.0,49.0,2.0,5.722341,45.145962,Appartement,4,305
281200.0,89.0,5.0,5.709217,45.189144,Appartement,1,315
60000.0,11.0,1.0,5.755305,45.191328,Appartement,1,308
163620.0,66.0,4.0,5.753779,45.186925,Appartement,1,308
353000.0,81.0,4.0,5.726325,45.182872,Appartement,1,301
96000.0,62.0,4.0,5.707543,45.174889,Appartement,1,315
110000.0,67.0,4.0,5.718682,45.165607,Appartement,1,308
125000.0,64.0,4.0,5.710474,45.173518,Appartement,2,307
424700.0,104.0,3.0,5.713229,45.167821,Maison,3,320
560532.0,126.0,6.0,5.808824,45.240614,Maison,4,319
609850.0,123.0,5.0,5.759241,45.209196,Appartement,3,313
133000.0,54.0,2.0,5.71552,45.181276,Appartement,4,298
106200.0,61.0,4.0,5.753248,45.167413,Appartement,4,291
75000.0,17.0,1.0,5.744759,45.186636,Appartement,1,301
253000.0,64.0,3.0,5.719574,45.186654,Appartement,2,300
65300.0,16.0,1.0,5.747267,45.180807,Appartement,1,315
163000.0,53.0,2.0,5.71858,45.185336,Appartement,2,293
141800.0,43.0,1.0,5.738465,45.191623,Appartement,1,294
130000.0,49.0,2.0,5.724868,45.145533,Appartement,4,291
195000.0,74.0,3.0,5.714811,45.180539,Appartement,2,293
260000.0,96.0,3.0,5.718143,45.189565,Appartement,1,294
185320.0,49.0,2.0,5.721098,45.182082,Appartement,2,293
819800.0,230.0,9.0,5.837429,45.255933,Maison,0,295
206280.0,72.0,2.0,5.850659,45.243074,Appartement,1,294
127000.0,94.0,5.0,5.721919,45.152697,Appartement,4,291
97000.0,40.0,2.0,5.753779,45.186925,Appartement,3,292
128650.0,65.0,3.0,5.71708,45.162888,Appartement,0,288
592450.0,142.0,7.0,5.80617,45.229989,Maison,4,291
175000.0,80.0,5.0,5.709302,45.179714,Appartement,1,280
91600.0,76.0,4.0,5.702079,45.144146,Appartement,3,285
185000.0,80.0,4.0,5.716158,45.176379,Maison,3,285
61000.0,65.0,4.0,5.752435,45.199114,Appartement,4,312
130000.0,47.0,2.0,5.736122,45.194108,Appartement,4,298
111000.0,50.0,3.0,5.715338,45.180853,Appartement,0,295
178430.0,60.0,2.0,5.724004,45.18552,Appartement,1,301
114200.0,31.0,1.0,5.741759,45.184668,Appartement,0,288
61000.0,35.0,1.0,5.717645,45.1801,Appartement,4,284
128250.0,74.0,4.0,5.75526,45.17438,Appartement,2,286
220900.0,50.0,2.0,5.723508,45.182059,Appartement,2,279
37000.0,19.0,1.0,5.718292,45.149071,Appartement,1,280
470000.0,105.0,5.0,5.846014,45.245576,Appartement,2,279
232500.0,65.0,3.0,5.713208,45.185376,Appartement,4,284
321290.0,97.0,5.0,5.778407,45.208762,Appartement,4,291
98000.0,58.0,2.0,5.720882,45.179836,Appartement,3,285
445000.0,86.0,4.0,5.859649,45.273761,Maison,1,287
200900.0,60.0,3.0,5.751947,45.165503,Appartement,1,287
84000.0,45.0,2.0,5.721845,45.184801,Appartement,4,284
125000.0,59.0,3.0,5.724618,45.151893,Appartement,1,287
380800.0,82.0,4.0,5.827169,45.243019,Appartement,1,280
173500.0,108.0,5.0,5.702184,45.151535,Appartement,0,288
185450.0,76.0,4.0,5.714116,45.161895,Appartement,0,288
83950.0,47.0,1.0,5.724868,45.145533,Appartement,3,292
134500.0,45.0,2.0,5.747339,45.179586,Appartement,3,292
108800.0,31.0,2.0,5.713201,45.181914,Appartement,0,288
208000.0,70.0,4.0,5.764567,45.210114,Appartement,0,281
280000.0,70.0,3.0,5.835459,45.254083,Maison,1,287
82000.0,30.0,1.0,5.71897,45.185197,Appartement,4,284
268000.0,72.0,3.0,5.71899,45.191614,Appartement,1,287
150000.0,180.0,3.0,5.72294,45.14196,Maison,4,298
220000.0,64.0,3.0,5.790601,45.181864,Appartement,4,277
112500.0,66.0,3.0,5.766785,45.162687,Appartement,1,280
161210.0,55.0,2.0,5.715584,45.176364,Appartement,0,274
325500.0,87.0,3.0,5.72375,45.186017,Appartement,4,319
107000.0,58.0,2.0,5.718849,45.173488,Appartement,4,270
178711.0,34.0,2.0,5.729964,45.192888,Appartement,4,284
151110.0,84.0,5.0,5.751924,45.164312,Appartement,2,272
169000.0,79.0,4.0,5.750837,45.15786,Appartement,2,272
156500.0,119.0,5.0,5.702184,45.151535,Appartement,3,292
141500.0,73.0,3.0,5.714374,45.135908,Appartement,4,270
95000.0,50.0,2.0,5.715728,45.187436,Appartement,0,288
105000.0,53.0,2.0,5.708013,45.188864,Appartement,2,272
127040.0,59.0,2.0,5.724701,45.177297,Appartement,2,272
285000.0,95.0,4.0,5.74702,45.148121,Maison,0,281
120000.0,48.0,3.0,5.706481,45.180457,Appartement,1,273
135950.0,90.0,4.0,5.702184,45.151535,Appartement,1,273
261100.0,52.0,2.0,5.720996,45.183931,Appartement,1,273
125000.0,49.0,2.0,5.737514,45.182894,Appartement,2,286
80000.0,68.0,3.0,5.723011,45.163336,Appartement,1,273
230000.0,92.0,5.0,5.726591,45.144904,Appartement,2,272
243000.0,74.0,3.0,5.708307,45.191021,Appartement,4,284
50100.0,18.0,1.0,5.71037,45.194085,Appartement,1,287
152000.0,49.0,2.0,5.755979,45.174268,Appartement,2,279
323050.0,93.0,5.0,5.789716,45.212366,Appartement,4,277
170000.0,51.0,2.0,5.77182,45.209396,Appartement,3,278
210000.0,96.0,4.0,5.715273,45.179378,Appartement,3,278
118000.0,31.0,2.0,5.717121,45.187411,Appartement,3,271
221000.0,69.0,3.0,5.783032,45.183551,Appartement,3,278
202000.0,63.0,3.0,5.752992,45.184842,Appartement,3,271
147940.0,60.0,2.0,5.730319,45.192835,Appartement,4,277
590000.0,195.0,6.0,5.711458,45.171303,Maison,4,270
212380.0,78.0,4.0,5.750916,45.18563,Appartement,3,278
302300.0,87.0,3.0,5.75351,45.199531,Appartement,3,285
127000.0,69.0,4.0,5.725165,45.175805,Appartement,1,259
195000.0,62.0,3.0,5.726149,45.180546,Appartement,1,259
513500.0,76.0,4.0,5.755606,45.203337,Maison,4,270
138000.0,62.0,3.0,5.70894,45.17635,Appartement,2,265
174000.0,59.0,2.0,5.721344,45.189675,Appartement,3,264
230000.0,100.0,4.0,5.740378,45.178408,Maison,3,264
425000.0,103.0,4.0,5.791317,45.225084,Appartement,4,284
335000.0,85.0,4.0,5.764567,45.210114,Appartement,2,258
250000.0,67.0,4.0,5.745918,45.202959,Appartement,1,259
184000.0,56.0,2.0,5.718396,45.184559,Appartement,2,272
305000.0,84.0,3.0,5.734691,45.193973,Appartement,2,265
153000.0,44.0,2.0,5.716047,45.177745,Appartement,4,270
115000.0,52.0,2.0,5.715868,45.142529,Appartement,1,266
103500.0,34.0,2.0,5.711555,45.187589,Appartement,0,281
90700.0,53.0,3.0,5.710474,45.173518,Appartement,0,267
34070.0,19.0,1.0,5.718292,45.149071,Appartement,3,264
81000.0,67.0,3.0,5.73002,45.156664,Appartement,3,257
262800.0,70.0,3.0,5.736094,45.20279,Appartement,0,260
106000.0,36.0,2.0,5.717272,45.180166,Appartement,3,264
620000.0,122.0,5.0,5.726325,45.182872,Appartement,1,259
46000.0,14.0,1.0,5.712296,45.186982,Appartement,3,271
307225.0,86.0,3.0,5.76665,45.210378,Appartement,1,259
141500.0,67.0,4.0,5.746976,45.186556,Appartement,2,272
648400.0,187.0,6.0,5.795126,45.229613,Maison,4,284
648400.0,187.0,6.0,5.795126,45.229613,Maison,4,284
114000.0,61.0,4.0,5.762057,45.169415,Appartement,0,260
540000.0,58.0,3.0,5.708089,45.178593,Appartement,1,259
540000.0,48.0,2.0,5.708089,45.178593,Appartement,1,259
540000.0,58.0,2.0,5.708089,45.178593,Appartement,1,259
540000.0,47.0,3.0,5.708089,45.178593,Appartement,1,259
540000.0,67.0,3.0,5.708089,45.178593,Appartement,1,259
540000.0,36.0,2.0,5.708089,45.178593,Appartement,1,259
540000.0,47.0,2.0,5.708089,45.178593,Appartement,1,259
74000.0,16.0,1.0,5.744759,45.186636,Appartement,0,274
113000.0,41.0,1.0,5.712367,45.175551,Appartement,1,259
125000.0,58.0,3.0,5.717349,45.185341,Appartement,1,266
68600.0,49.0,2.0,5.720388,45.148014,Appartement,2,265
235800.0,94.0,4.0,5.736122,45.194108,Appartement,0,267
170435.0,74.0,4.0,5.740104,45.181965,Appartement,2,265
123000.0,51.0,3.0,5.741025,45.18105,Appartement,3,271
67100.0,40.0,1.0,5.712261,45.176986,Appartement,3,271
147000.0,62.0,3.0,5.743471,45.182767,Appartement,2,265
97000.0,53.0,3.0,5.744768,45.180322,Appartement,4,256
78000.0,27.0,1.0,5.71026,45.18364,Appartement,2,258
141000.0,70.0,3.0,5.746751,45.157602,Appartement,2,251
198000.0,42.0,2.0,5.829369,45.243166,Appartement,3,271
142000.0,45.0,2.0,5.709388,45.190277,Appartement,3,257
180000.0,72.0,3.0,5.721398,45.189066,Appartement,1,259
365000.0,70.0,3.0,5.740815,45.198272,Appartement,1,252
365000.0,71.0,4.0,5.740815,45.198272,Appartement,1,252
106000.0,31.0,2.0,5.719792,45.181882,Appartement,4,249
158000.0,65.0,2.0,5.716236,45.192188,Appartement,4,249
278000.0,72.0,3.0,5.821996,45.24128,Appartement,3,257
172900.0,63.0,3.0,5.76457,45.177489,Appartement,0,267
209000.0,86.0,4.0,5.720752,45.163607,Appartement,0,267
139000.0,88.0,4.0,5.765067,45.167812,Appartement,1,273
165000.0,72.0,3.0,5.746748,45.185622,Appartement,1,259
174000.0,100.0,5.0,5.708358,45.173086,Appartement,1,252
107000.0,37.0,2.0,5.781872,45.182748,Appartement,2,251
306800.0,77.0,4.0,5.795119,45.212184,Appartement,4,263
429000.0,85.0,4.0,5.74975,45.213907,Appartement,3,257
104000.0,25.0,2.0,5.718845,45.19098,Appartement,2,258
138000.0,18.0,1.0,5.717803,45.185516,Appartement,1,273
138000.0,13.0,1.0,5.717803,45.185516,Appartement,1,273
182700.0,70.0,4.0,5.774003,45.177031,Maison,2,258
109000.0,63.0,4.0,5.710954,45.171472,Appartement,3,271
62000.0,21.0,1.0,5.714737,45.189034,Appartement,4,256
435000.0,110.0,4.0,5.835938,45.253419,Maison,1,252
48000.0,52.0,3.0,5.707543,45.174889,Appartement,4,256
79000.0,17.0,1.0,5.720968,45.181156,Appartement,2,272
333500.0,118.0,6.0,5.746901,45.153535,Appartement,2,258
278360.0,60.0,3.0,5.829369,45.243166,Appartement,1,252
56000.0,16.0,1.0,5.747267,45.180807,Appartement,3,243
148000.0,47.0,2.0,5.704037,45.183726,Appartement,2,251
60000.0,49.0,2.0,5.745496,45.180792,Appartement,1,259
135000.0,36.0,2.0,5.714212,45.198231,Appartement,1,252
120000.0,23.0,1.0,5.711971,45.185494,Appartement,2,244
120000.0,26.0,1.0,5.711971,45.185494,Appartement,2,244
568600.0,189.0,7.0,5.776479,45.257313,Maison,4,242
243000.0,106.0,4.0,5.717051,45.161965,Appartement,2,237
130000.0,65.0,3.0,5.7433,45.186492,Appartement,1,238
261300.0,90.0,2.0,5.72085,45.185003,Appartement,0,246
95000.0,67.0,4.0,5.74089,45.169844,Appartement,1,245
210000.0,73.0,3.0,5.707709,45.17321,Appartement,3,236
95000.0,21.0,0.0,5.720763,45.186185,Appartement,3,243
111370.0,57.0,3.0,5.723776,45.171768,Appartement,3,243
89000.0,55.0,2.0,5.714788,45.146345,Appartement,2,244
111350.0,56.0,2.0,5.753378,45.17596,Appartement,4,242
170000.0,35.0,2.0,5.81161,45.2209,Appartement,0,253
265500.0,84.0,3.0,5.760492,45.208737,Appartement,4,242
200000.0,70.0,4.0,5.764286,45.166118,Maison,3,271
185000.0,81.0,4.0,5.720681,45.148783,Appartement,1,266
226800.0,95.0,4.0,5.731786,45.193451,Appartement,3,236
207235.0,63.0,3.0,5.712679,45.17095,Appartement,0,232
170000.0,71.0,3.0,5.70855,45.172534,Appartement,1,231
116495.0,48.0,2.0,5.714907,45.172264,Appartement,3,243
626750.0,180.0,7.0,5.741746,45.198466,Appartement,3,250
186500.0,65.0,3.0,5.758836,45.176915,Appartement,4,249
83500.0,44.0,1.0,5.710578,45.189732,Appartement,1,245
658000.0,148.0,6.0,5.787817,45.217653,Appartement,1,238
94000.0,30.0,1.0,5.717728,45.186653,Appartement,4,249
74000.0,67.0,3.0,5.702197,45.143396,Appartement,3,243
240000.0,91.0,3.0,5.702184,45.151535,Appartement,3,243
105000.0,52.0,2.0,5.711982,45.176666,Appartement,2,237
108300.0,53.0,3.0,5.707595,45.18089,Appartement,0,246
129150.0,57.0,3.0,5.752529,45.189945,Appartement,1,231
84000.0,53.0,2.0,5.713211,45.176858,Appartement,2,251
88000.0,25.0,1.0,5.715286,45.186753,Appartement,2,251
131250.0,51.0,2.0,5.712261,45.176986,Appartement,0,232
217000.0,80.0,3.0,5.736308,45.199611,Appartement,4,242
153000.0,70.0,4.0,5.707319,45.176422,Appartement,4,235
385000.0,94.0,5.0,5.761011,45.157523,Maison,0,232
218700.0,71.0,3.0,5.844271,45.205378,Appartement,0,344
137342.5,61.0,4.0,5.829639,45.195614,Appartement,1,343
325350.0,93.0,4.0,5.743268,45.092868,Maison,2,342
180000.0,91.0,4.0,5.771662,45.080543,Appartement,3,341
65950.0,60.0,3.0,6.087417,45.318712,Maison,1,336
194000.0,49.0,2.0,5.887678,45.240099,Appartement,0,337
203170.0,69.0,3.0,5.650162,45.276429,Appartement,1,343
206000.0,65.0,3.0,5.58966,45.355401,Appartement,0,337
529000.0,119.0,5.0,5.886867,45.288306,Maison,3,334
186175.0,87.0,5.0,5.980493,45.343689,Maison,4,340
515650.0,140.0,7.0,5.819817,45.191244,Maison,3,341
45000.0,18.0,1.0,5.726562,45.164403,Appartement,4,333
431650.0,138.0,5.0,6.01343,45.428894,Maison,4,326
240000.0,49.0,2.0,5.705542,45.025614,Maison,3,334
52000.0,37.0,2.0,5.814771,45.341728,Appartement,0,344
180000.0,60.0,3.0,5.95793,45.30862,Maison,1,329
131000.0,43.0,4.0,5.829639,45.195614,Appartement,0,330
372000.0,105.0,5.0,6.047001,45.372051,Maison,0,337
80000.0,25.0,1.0,5.726169,45.17844,Appartement,4,333
32000.0,37.0,2.0,5.586718,45.366827,Appartement,1,329
198390.0,80.0,4.0,5.769181,45.082615,Appartement,0,330
265100.0,50.0,3.0,5.59439,45.382492,Maison,0,323
87700.0,50.0,2.0,5.724187,45.166342,Appartement,0,337
462000.0,145.0,6.0,6.013151,45.428807,Maison,1,329
125000.0,80.0,2.0,5.727845,45.192335,Appartement,3,327
120000.0,48.0,2.0,5.883329,45.234919,Appartement,4,340
381650.0,108.0,5.0,5.581851,45.356992,Maison,2,342
343690.0,108.0,6.0,5.64077,45.284881,Maison,1,336
315000.0,146.0,4.0,5.584771,45.367604,Appartement,1,343
70000.0,79.0,4.0,5.729541,45.162712,Appartement,2,342
473300.0,124.0,5.0,5.782589,45.116179,Maison,3,341
165000.0,60.0,3.0,5.783686,45.050707,Appartement,0,323
70000.0,51.0,2.0,5.735952,45.386636,Maison,0,337
70900.0,26.0,1.0,5.727431,45.177164,Appartement,2,335
152000.0,64.0,3.0,5.729723,45.175254,Appartement,1,329
437325.0,118.0,5.0,5.685269,45.230481,Maison,3,327
223850.0,62.0,3.0,5.925032,45.274843,Appartement,4,340
157000.0,53.0,3.0,5.645098,45.376687,Appartement,1,343
131000.0,53.0,2.0,5.727204,45.194434,Appartement,4,333
79000.0,46.0,3.0,5.589697,45.360489,Appartement,1,336
65000.0,24.0,1.0,5.725439,45.168228,Appartement,0,344
97000.0,30.0,1.0,5.727048,45.180936,Appartement,2,335
282900.0,99.0,4.0,5.735293,45.177776,Appartement,0,344
37800.0,18.0,1.0,5.726562,45.164403,Appartement,1,329
362400.0,90.0,4.0,5.855297,45.146872,Maison,0,330
56000.0,38.0,1.0,5.683656,45.220321,Appartement,3,327
270000.0,89.0,5.0,5.629353,45.296615,Maison,4,319
158000.0,32.0,2.0,5.586718,45.366827,Appartement,1,322
158000.0,37.0,2.0,5.586718,45.366827,Appartement,1,322
158000.0,18.0,2.0,5.586718,45.366827,Appartement,1,322
158000.0,37.0,2.0,5.586718,45.366827,Appartement,1,322
