APP_Libelle_activite_etablissement,Synthese_eval_sanit,ods_type_activite,latitude,longitude,semaine,jour
Restaurant,Très satisfaisant,Autres,45.762926,4.832648,14,2
Alimentation générale,Très satisfaisant,Autres,45.487687,6.530501,12,3
Alimentation générale,Très satisfaisant,Autres,45.27721,6.344363,1,3
Restaurant,Satisfaisant,Autres,45.76251,4.832729,10,4
Boulangerie-Pâtisserie,Satisfaisant,Autres,45.182566,5.716843,3,4
Alimentation générale,Très satisfaisant,Autres,45.654977,6.358317,11,1
Alimentation générale,Très satisfaisant,Autres,45.742009,6.558544,30,4
Boucherie-Charcuterie,Très satisfaisant,Autres,45.760769,4.834718,14,2
Boulangerie-Pâtisserie,Satisfaisant,Autres,45.76251,4.845009,11,2
Restaurant,A améliorer,Autres,45.856706,3.547305,7,2
Restaurant,Très satisfaisant,Autres,45.768298,4.857135,19,2
Restaurant,Satisfaisant,Autres,45.766744,4.857021,19,2
Autres,Satisfaisant,Autres,45.39229,5.25282,7,3
Restaurant,Très satisfaisant,Autres,46.202694,5.228055,9,3
Rayon boucherie-charcuterie,Satisfaisant,Autres,45.234774,5.674706,12,2
Restaurant,Satisfaisant,Autres,46.349555,6.433327,22,4
Restaurant,Très satisfaisant,Autres,45.932174,6.170209,27,4
Restaurant,Très satisfaisant,Autres,46.171857,5.573211,3,5
Autres,A améliorer,Autres,45.154731,5.708962,25,4
Boulangerie-Pâtisserie,Très satisfaisant,Autres,45.457743,5.881875,26,5
Boulangerie-Pâtisserie,Très satisfaisant,Autres,45.204845,6.336181,29,3
Autres,Satisfaisant,Autres,45.944668,6.140037,12,3
Boulangerie-Pâtisserie,Très satisfaisant,Autres,46.178751,5.323642,5,2
Autres,Satisfaisant,Autres,45.590495,5.24244,10,4
Restaurant,A améliorer,Autres,45.767354,4.857363,19,2
Autres,Très satisfaisant,Autres,45.641834,5.8588,22,4
Alimentation générale,Satisfaisant,Autres,45.325055,5.567025,10,3
Restaurant,Très satisfaisant,Autres,45.031534,5.526977,10,3
Autres,Satisfaisant,Autres,45.881773,6.178443,27,4
Restaurant,Satisfaisant,Autres,45.76381,4.864582,23,5
Autres,Très satisfaisant,Autres,45.086209,5.192701,18,3
Traiteur,Satisfaisant,Autres,45.892484,6.7114,10,4
Restaurant,Satisfaisant,Autres,45.511549,2.93309,6,1
Boulangerie-Pâtisserie,Très satisfaisant,Autres,45.185151,5.763537,11,3
Poissonnerie,Satisfaisant,Autres,45.675663,5.471464,30,3
Restaurant,Très satisfaisant,Autres,45.767421,4.85707,19,2
Restaurant,Satisfaisant,Autres,45.896997,3.137094,1,5
Boulangerie-Pâtisserie,Très satisfaisant,Autres,45.19535,5.691571,18,2
Boulangerie-Pâtisserie,A améliorer,Autres,45.529129,4.877989,22,3
